Date,Open,High,Low,Sentiment,Close
1/7/2022,43153.57031,43153.57031,41077.44531,18,41557.90234
1/8/2022,41561.46484,42228.94141,40672.27734,10,41733.94141
1/9/2022,41734.72656,42663.94922,41338.16016,23,41911.60156
1/10/2022,41910.23047,42199.48438,39796.57031,23,41821.26172
1/11/2022,41819.50781,43001.15625,41407.75391,21,42735.85547
1/12/2022,42742.17969,44135.36719,42528.98828,22,43949.10156
1/13/2022,43946.74219,44278.42188,42447.04297,21,42591.57031
1/14/2022,42598.87109,43346.6875,41982.61719,21,43099.69922
1/15/2022,43101.89844,43724.67188,42669.03516,23,43177.39844
1/16/2022,43172.03906,43436.80859,42691.02344,21,43113.87891
1/17/2022,43118.12109,43179.39063,41680.32031,22,42250.55078
1/18/2022,42250.07422,42534.40234,41392.21484,24,42375.63281
1/19/2022,42374.03906,42478.30469,41242.91406,24,41744.32813
1/20/2022,41744.02734,43413.02344,40672.82422,24,40680.41797
1/21/2022,40699.60547,41060.52734,35791.42578,19,36457.31641
1/22/2022,36471.58984,36688.8125,34349.25,13,35030.25
1/23/2022,35047.35938,36433.3125,34784.96875,11,36276.80469
1/24/2022,36275.73438,37247.51953,33184.05859,13,36654.32813
1/25/2022,36654.80469,37444.57031,35779.42969,12,36954.00391
1/26/2022,36950.51563,38825.41016,36374.90625,23,36852.12109
1/27/2022,36841.87891,37148.32422,35629.28125,20,37138.23438
1/28/2022,37128.44531,37952.87891,36211.10938,24,37784.33203
1/29/2022,37780.71484,38576.26172,37406.47266,24,38138.17969
1/30/2022,38151.91797,38266.33984,37437.71094,29,37917.60156
1/31/2022,37920.28125,38647.26172,36733.57422,20,38483.125
2/1/2022,38481.76563,39115.13281,38113.66406,26,38743.27344
2/2/2022,38743.71484,38834.61719,36832.73047,28,36952.98438
2/3/2022,36944.80469,37154.60156,36375.53906,20,37154.60156
2/4/2022,37149.26563,41527.78516,37093.62891,20,41500.875
2/5/2022,41501.48047,41847.16406,41038.09766,33,41441.16406
2/6/2022,41441.12109,42500.78516,41244.90625,37,42412.43359
2/7/2022,42406.78125,44401.86328,41748.15625,45,43840.28516
2/8/2022,43854.65234,45293.86719,42807.83594,48,44118.44531
2/9/2022,44096.70313,44727.80078,43232.96875,54,44338.79688
2/10/2022,44347.80078,45661.17188,43402.80859,50,43565.11328
2/11/2022,43571.12891,43810.83203,42114.53906,50,42407.9375
2/12/2022,42412.30078,42992.55078,41852.57422,44,42244.46875
2/13/2022,42236.56641,42693.05469,41950.94141,44,42197.51563
